I, [2015-04-07T21:21:09.380117 #24138]  INFO -- Kitchen: -----> Starting Kitchen (v1.3.1)
E, [2015-04-07T21:21:09.381348 #24138] ERROR -- Kitchen: ------Exception-------
E, [2015-04-07T21:21:09.381437 #24138] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2015-04-07T21:21:09.381464 #24138] ERROR -- Kitchen: Message: Kitchen YAML file /Users/shayne/Stelligent-demo/chef/.kitchen.yml does not exist.
E, [2015-04-07T21:21:09.381488 #24138] ERROR -- Kitchen: ------Backtrace-------
E, [2015-04-07T21:21:09.381510 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2015-04-07T21:21:09.381533 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:139:in `data'
E, [2015-04-07T21:21:09.381556 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:118:in `suites'
E, [2015-04-07T21:21:09.381579 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:169:in `filter_instances'
E, [2015-04-07T21:21:09.381602 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:128:in `build_instances'
E, [2015-04-07T21:21:09.381625 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/config.rb:104:in `instances'
E, [2015-04-07T21:21:09.381647 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2015-04-07T21:21:09.381670 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2015-04-07T21:21:09.381693 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command/action.rb:38:in `block in call'
E, [2015-04-07T21:21:09.381715 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/rubies/ruby-2.2.0/lib/ruby/2.2.0/benchmark.rb:288:in `measure'
E, [2015-04-07T21:21:09.381738 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/command/action.rb:37:in `call'
E, [2015-04-07T21:21:09.381760 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/cli.rb:56:in `perform'
E, [2015-04-07T21:21:09.381783 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/cli.rb:161:in `block (2 levels) in <class:CLI>'
E, [2015-04-07T21:21:09.381847 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2015-04-07T21:21:09.381872 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2015-04-07T21:21:09.381895 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/cli.rb:304:in `invoke_task'
E, [2015-04-07T21:21:09.381917 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2015-04-07T21:21:09.381940 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2015-04-07T21:21:09.381963 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/bin/kitchen:13:in `block in <top (required)>'
E, [2015-04-07T21:21:09.381985 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/lib/kitchen/errors.rb:154:in `with_friendly_errors'
E, [2015-04-07T21:21:09.382007 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/gems/test-kitchen-1.3.1/bin/kitchen:13:in `<top (required)>'
E, [2015-04-07T21:21:09.382030 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/bin/kitchen:23:in `load'
E, [2015-04-07T21:21:09.382051 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/bin/kitchen:23:in `<main>'
E, [2015-04-07T21:21:09.382073 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/bin/ruby_executable_hooks:15:in `eval'
E, [2015-04-07T21:21:09.382121 #24138] ERROR -- Kitchen: /Users/shayne/.rvm/gems/ruby-2.2.0/bin/ruby_executable_hooks:15:in `<main>'
E, [2015-04-07T21:21:09.382144 #24138] ERROR -- Kitchen: ----------------------
