F, [2015-04-07T21:26:50.987294 #25721] FATAL -- default-centos65: The `berkshelf' gem is missing and must be installed or cannot be properly activated. Run `gem install berkshelf` or add the following to your Gemfile if you are using Bundler: `gem 'berkshelf'`.
I, [2015-04-07T21:41:51.612364 #34862]  INFO -- default-centos65: -----> Creating <default-centos65>...
I, [2015-04-07T21:41:53.707777 #34862]  INFO -- default-centos65: Bringing machine 'default' up with 'virtualbox' provider...
I, [2015-04-07T21:41:54.172597 #34862]  INFO -- default-centos65: ==> default: Importing base box 'learningchef/centos65'...
I, [2015-04-07T21:42:06.994749 #34862]  INFO -- default-centos65: [KProgress: 10%[KProgress: 20%[KProgress: 40%[KProgress: 60%[KProgress: 80%[KProgress: 90%[K==> default: Matching MAC address for NAT networking...
I, [2015-04-07T21:42:07.193653 #34862]  INFO -- default-centos65: ==> default: Checking if box 'learningchef/centos65' is up to date...
I, [2015-04-07T21:42:09.264854 #34862]  INFO -- default-centos65: ==> default: Setting the name of the VM: kitchen-apache-test-default-centos65_default_1428435729221_5591
I, [2015-04-07T21:42:09.769975 #34862]  INFO -- default-centos65: ==> default: Clearing any previously set network interfaces...
I, [2015-04-07T21:42:10.053172 #34862]  INFO -- default-centos65: ==> default: Preparing network interfaces based on configuration...
I, [2015-04-07T21:42:10.053525 #34862]  INFO -- default-centos65:     default: Adapter 1: nat
I, [2015-04-07T21:42:10.053953 #34862]  INFO -- default-centos65:     default: Adapter 2: hostonly
I, [2015-04-07T21:42:10.107289 #34862]  INFO -- default-centos65: ==> default: Forwarding ports...
I, [2015-04-07T21:42:10.196785 #34862]  INFO -- default-centos65:     default: 22 => 2222 (adapter 1)
I, [2015-04-07T21:42:10.346197 #34862]  INFO -- default-centos65: ==> default: Booting VM...
I, [2015-04-07T21:42:11.133506 #34862]  INFO -- default-centos65: ==> default: Waiting for machine to boot. This may take a few minutes...    default: SSH address: 127.0.0.1:2222
I, [2015-04-07T21:42:11.133679 #34862]  INFO -- default-centos65:     default: SSH username: vagrant
I, [2015-04-07T21:42:11.133807 #34862]  INFO -- default-centos65:     default: SSH auth method: private key
